concept,meaning,category,fullName
데이터베이스 설계,사용자의 요구를 분석하여 그것을 컴퓨터에 저장할 수 있는 데이터베이스의 구조에 맞게 변형한 후 특정 DBMS로 데이터베이스를 구현하여 일반 사용자들이 사용하게 하는 것,데이터베이스 설계,
무결성,"삽입, 삭제, 갱신 등의 연산 후에도 데이터베이스에 저장된 데이터가 정해진 제약 조건을 항상 만족해야한다",데이터베이스 설계 시 고려사항,
일관성,"데이터베이스에 저장된 데이터들 사이나, 특정 질의에 대한 응답이 처음부터 끝까지 변함없이 일정해야한다.",데이터베이스 설계 시 고려사항,
회복,시스템에 장애가 발생했을 때 장애 발생 직전의 상태로 복구할 수 있어야한다.,데이터베이스 설계 시 고려사항,
보안,불법적인 데이터의 노출 또는 변경이나 손실로부터 보호할 수 있어야한다.,데이터베이스 설계 시 고려사항,
효율성,"응답시간의 단축, 시스템의 생산성, 저장 공간의 최적화 등이 가능해야한다.",데이터베이스 설계 시 고려사항,
데이터베이스 확장,데이터베이스 운영에 영향을 주지 않으면서 지속적으로 데이터를 추가할 수 있어야한다.,데이터베이스 설계 시 고려사항,
요구 조건 분석,데이터베이스 설계 때 하는 일 : 요구 조건 명세서 작성,데이터베이스 설계 순서,
개념적 설계,"데이터베이스 설계 때 하는 일 : 개념 스키마, 트랜잭션 모델링, E-R 모델",데이터베이스 설계 순서,
논리적 설계,"데이터베이스 설계 때 하는 일 : 목표 DBMS에 맞는 논리 스키마 설계, 트랜잭션 인터페이스 설계",데이터베이스 설계 순서,
물리적 설계,데이터베이스 설계 때 하는 일 : 목표 DBMS에 맞는 물리적 구조의 데이터로 변환,데이터베이스 설계 순서,
구현,"데이터베이스 설계 때 하는 일 : 목표 DBMS의 DDL(데이터 정의어)로 데이터베이스 생성, 트랜잭션 작성",데이터베이스 설계 순서,
요구 조건 분석,"데이터베이스를 사용할 사람들로부터 필요한 용도를 파악하는 것, 데이터 사용자에 따른 수행 업무와 필요한 데이터의 종류, 용도, 처리 형태, 흐름, 제약 조건 등을 수집하고, 이를 바탕으로 요구 조건 명세를 작성한다.",데이터베이스 설계 순서,
개념적 설계,"정보의 구조를 얻기 위하여 현실 세계의 무한성과 계속성을 이해하고, 다른 사람과 통신하기 위하여 현실 세계에 대한 인식을 추상적 개념으로 표현하는 과정이다. 개념스키마 모델링, 트랜잭션 모델링을 병행 수행하고, DBMS 독립적인 E-R 다이어그램, 개념 스키마를 설계한다.",데이터베이스 설계,
논리적 설계,"현실 세계에서 발생하는 자료를 컴퓨터가 이해하고 처리할 수 있는 물리적 저장장치에 저장할 수 있도록 변환하기 위해 특정 DBMS가 지원하는 논리적 자료 구조를 변환시키는 과정이다. 개념 스키라를 평가, 정제하여 DBMS마다 다른 논리적 스키마를 설게한다. 트랜잭션의 인터페이스를 설계한다. RDBMS의 경우 테이블을 설계하는 단계이다.",데이터베이스 설계,
물리적 설계(데이터베이스 설계),"논리적 구조로 표현된 데이터들을 디스크 등의 물리적 저장장치에 저장할 수 있는 물리적 구조의 데이터로 변환하는 과정이다. 데이터베이스 파일의 저장 구조 및 엑세스 경로를 결정한다. 저장 레코드의 양식, 순서, 접근 정보 등에 대한 방법을 묘사한다. 트랜잭션 처리량, 응답시간, 용량, 저장공간의 효율화 등을 고려한다.",데이터베이스 설계,
데이터베이스 구현(데이터베이스 설계),"DDL 을 이용하여 데이터베이스 스키마를 기술한 후 컴파일 하여 빈 데이터베이스 파일을 생성한다. 빈 데이터베이스 파일에 데이터를 입력하고, 응용 프로그램을 위한 트랜잭션을 작성한다.",데이터베이스 설계,
데이터 모델,"현실 세계의 정보들을 컴퓨터에 표현하기 위해서 단순화, 추상화하여 체계적으로 표현한 개념적 모형",데이터 모델,
개체,"데이터베이스에 표현하려는 것으로, 사람이 생각하는 개념이나 정보 같은 현실 세계의 대상체",데이터 모델 구성 요소,
